No,Time,Source,Destination,Protocol,Length,Info
131,1.611300,192.168.20.10,10.0.0.1,DNS,1374,Flow 131: 192.168.20.10 -> 10.0.0.1
132,1.623600,192.168.10.100,10.0.0.1,DHCP,332,Flow 132: 192.168.10.100 -> 10.0.0.1
133,1.635900,8.8.8.8,192.168.10.5,DHCP,991,Flow 133: 8.8.8.8 -> 192.168.10.5
134,1.648200,10.0.0.1,192.168.20.10,DNS,1272,Flow 134: 10.0.0.1 -> 192.168.20.10
135,1.660500,192.168.20.10,8.8.8.8,UDP,790,Flow 135: 192.168.20.10 -> 8.8.8.8
136,1.672800,192.168.20.10,192.168.50.10,DNS,798,Flow 136: 192.168.20.10 -> 192.168.50.10
137,1.685100,192.168.30.15,192.168.50.10,SSH,1292,Flow 137: 192.168.30.15 -> 192.168.50.10
138,1.697400,192.168.10.5,192.168.30.15,UDP,1236,Flow 138: 192.168.10.5 -> 192.168.30.15
139,1.709700,192.168.20.10,192.168.10.5,ARP,425,Flow 139: 192.168.20.10 -> 192.168.10.5
140,1.722000,192.168.50.10,192.168.30.15,DHCP,644,Flow 140: 192.168.50.10 -> 192.168.30.15
141,1.734300,8.8.8.8,192.168.50.10,HTTPS,1252,Flow 141: 8.8.8.8 -> 192.168.50.10
142,1.746600,8.8.8.8,192.168.10.100,SSH,999,Flow 142: 8.8.8.8 -> 192.168.10.100
143,1.758900,8.8.8.8,192.168.20.10,UDP,292,Flow 143: 8.8.8.8 -> 192.168.20.10
144,1.771200,192.168.10.5,192.168.10.1,SSH,1072,Flow 144: 192.168.10.5 -> 192.168.10.1
145,1.783500,192.168.10.1,8.8.8.8,HTTPS,1106,Flow 145: 192.168.10.1 -> 8.8.8.8
146,1.795800,192.168.10.5,10.0.0.1,SSH,1100,Flow 146: 192.168.10.5 -> 10.0.0.1
147,1.808100,8.8.8.8,192.168.10.1,SSH,872,Flow 147: 8.8.8.8 -> 192.168.10.1
148,1.820400,192.168.10.1,8.8.8.8,TCP,1395,Flow 148: 192.168.10.1 -> 8.8.8.8
149,1.832700,192.168.10.5,192.168.10.1,DNS,1175,Flow 149: 192.168.10.5 -> 192.168.10.1
150,1.845000,10.0.0.1,192.168.10.5,TELNET,1059,Unauthorized Telnet session attempt
151,1.857300,192.168.20.10,8.8.8.8,TCP,660,Flow 151: 192.168.20.10 -> 8.8.8.8
152,1.869600,192.168.10.5,10.0.0.1,UDP,341,Flow 152: 192.168.10.5 -> 10.0.0.1
153,1.881900,192.168.10.5,192.168.10.100,DHCP,683,Flow 153: 192.168.10.5 -> 192.168.10.100
154,1.894200,192.168.10.1,8.8.8.8,TCP,210,Flow 154: 192.168.10.1 -> 8.8.8.8
155,1.906500,192.168.50.10,192.168.10.1,SMB,357,Flow 155: 192.168.50.10 -> 192.168.10.1
156,1.918800,192.168.50.10,192.168.10.100,SSH,126,Flow 156: 192.168.50.10 -> 192.168.10.100
157,1.931100,10.0.0.1,192.168.10.5,DHCP,1257,Flow 157: 10.0.0.1 -> 192.168.10.5
158,1.943400,8.8.8.8,192.168.50.10,SMB,1436,Flow 158: 8.8.8.8 -> 192.168.50.10
159,1.955700,192.168.10.5,192.168.10.100,ARP,1500,Flow 159: 192.168.10.5 -> 192.168.10.100
160,1.968000,192.168.20.10,192.168.10.5,TCP,2000,Large outbound data transfer (Possible Exfiltration)
161,1.980300,192.168.30.15,10.0.0.1,HTTP,222,Flow 161: 192.168.30.15 -> 10.0.0.1
162,1.992600,192.168.10.1,192.168.20.10,HTTP,126,Flow 162: 192.168.10.1 -> 192.168.20.10
163,2.004900,8.8.8.8,192.168.30.15,DHCP,1092,Flow 163: 8.8.8.8 -> 192.168.30.15
164,2.017200,192.168.10.1,10.0.0.1,ARP,103,Flow 164: 192.168.10.1 -> 10.0.0.1
165,2.029500,192.168.30.15,192.168.10.1,HTTPS,160,Flow 165: 192.168.30.15 -> 192.168.10.1
166,2.041800,10.0.0.1,192.168.50.10,TCP,441,Flow 166: 10.0.0.1 -> 192.168.50.10
167,2.054100,10.0.0.1,192.168.30.15,SSH,148,Flow 167: 10.0.0.1 -> 192.168.30.15
168,2.066400,8.8.8.8,192.168.10.100,DHCP,1383,Flow 168: 8.8.8.8 -> 192.168.10.100
169,2.078700,192.168.10.100,10.0.0.1,SSH,1123,Flow 169: 192.168.10.100 -> 10.0.0.1
170,2.091000,192.168.10.5,8.8.8.8,HTTP,827,Flow 170: 192.168.10.5 -> 8.8.8.8
171,2.103300,192.168.20.10,8.8.8.8,DHCP,811,Flow 171: 192.168.20.10 -> 8.8.8.8
172,2.115600,8.8.8.8,192.168.30.15,TCP,87,Flow 172: 8.8.8.8 -> 192.168.30.15
173,2.127900,192.168.10.100,192.168.30.15,ARP,596,Flow 173: 192.168.10.100 -> 192.168.30.15
174,2.140200,8.8.8.8,192.168.50.10,SMB,1286,Flow 174: 8.8.8.8 -> 192.168.50.10
175,2.152500,8.8.8.8,192.168.10.5,TELNET,1023,Unauthorized Telnet session attempt
176,2.164800,8.8.8.8,192.168.10.100,HTTPS,735,Flow 176: 8.8.8.8 -> 192.168.10.100
177,2.177100,192.168.10.1,192.168.20.10,DNS,1264,Flow 177: 192.168.10.1 -> 192.168.20.10
178,2.189400,192.168.10.1,10.0.0.1,ARP,687,Flow 178: 192.168.10.1 -> 10.0.0.1
179,2.201700,192.168.10.1,192.168.50.10,DHCP,196,Flow 179: 192.168.10.1 -> 192.168.50.10
180,2.214000,8.8.8.8,192.168.50.10,DNS,1201,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA.example.com
181,2.226300,192.168.20.10,192.168.50.10,HTTPS,70,Flow 181: 192.168.20.10 -> 192.168.50.10
182,2.238600,192.168.20.10,8.8.8.8,UDP,1226,Flow 182: 192.168.20.10 -> 8.8.8.8
183,2.250900,192.168.30.15,10.0.0.1,HTTP,699,Flow 183: 192.168.30.15 -> 10.0.0.1
184,2.263200,192.168.10.1,192.168.10.5,DNS,1394,Flow 184: 192.168.10.1 -> 192.168.10.5
185,2.275500,192.168.20.10,10.0.0.1,HTTP,881,Flow 185: 192.168.20.10 -> 10.0.0.1
186,2.287800,192.168.10.1,10.0.0.1,DNS,1140,Flow 186: 192.168.10.1 -> 10.0.0.1
187,2.300100,192.168.20.10,192.168.10.1,HTTP,1089,Flow 187: 192.168.20.10 -> 192.168.10.1
188,2.312400,192.168.30.15,192.168.10.5,UDP,831,Flow 188: 192.168.30.15 -> 192.168.10.5
189,2.324700,192.168.30.15,192.168.50.10,HTTP,864,Flow 189: 192.168.30.15 -> 192.168.50.10
190,2.337000,10.0.0.1,8.8.8.8,DHCP,1286,Flow 190: 10.0.0.1 -> 8.8.8.8
191,2.349300,192.168.50.10,192.168.10.5,DHCP,1007,Flow 191: 192.168.50.10 -> 192.168.10.5
192,2.361600,8.8.8.8,192.168.30.15,TCP,1309,Flow 192: 8.8.8.8 -> 192.168.30.15
193,2.373900,192.168.30.15,8.8.8.8,TCP,473,Flow 193: 192.168.30.15 -> 8.8.8.8
194,2.386200,192.168.30.15,8.8.8.8,TCP,166,Flow 194: 192.168.30.15 -> 8.8.8.8
195,2.398500,192.168.30.15,192.168.10.5,DHCP,480,Flow 195: 192.168.30.15 -> 192.168.10.5
196,2.410800,192.168.50.10,192.168.10.5,TCP,1154,Flow 196: 192.168.50.10 -> 192.168.10.5
197,2.423100,10.0.0.1,192.168.50.10,UDP,457,Flow 197: 10.0.0.1 -> 192.168.50.10
198,2.435400,8.8.8.8,192.168.20.10,SSH,571,Flow 198: 8.8.8.8 -> 192.168.20.10
199,2.447700,192.168.10.5,192.168.10.100,DHCP,105,Flow 199: 192.168.10.5 -> 192.168.10.100
200,2.460000,192.168.50.10,8.8.8.8,TELNET,1038,Unauthorized Telnet session attempt
