cvss_base_score,exploitability_score,impact_score,asset_criticality,network_exposure,exploit_available,days_since_published,device_type,mitre_attack_technique_count,risk_priority
3.1,7.9,8.0,high,0.27,1,13,workstation,7,2
6.2,1.6,3.9,high,0.41,0,1373,server,1,2
5.1,9.3,4.6,low,0.9,1,884,workstation,2,3
3.8,4.3,5.8,critical,0.35,0,857,firewall,3,2
8.1,8.0,6.5,critical,0.98,1,212,server,4,4
7.0,9.4,1.1,high,0.69,1,1824,server,4,3
6.6,1.2,8.9,critical,0.86,0,651,workstation,3,3
7.5,2.8,2.2,critical,0.88,0,163,server,6,2
9.0,6.4,8.1,critical,0.74,1,889,firewall,11,4
3.9,4.7,3.8,critical,0.53,0,1374,server,0,2
3.8,2.0,6.2,critical,0.26,0,788,firewall,3,1
5.0,10.0,4.8,high,0.69,1,367,workstation,2,3
7.4,8.1,2.7,low,0.68,1,1624,firewall,10,3
3.3,3.2,6.1,medium,0.61,1,236,printer,9,2
8.9,7.0,1.9,critical,0.5,1,679,ids,7,3
8.9,9.0,3.2,high,0.18,1,1563,firewall,10,3
2.4,4.6,3.8,high,0.62,1,244,server,0,2
4.0,5.6,2.0,medium,0.27,1,984,workstation,12,2
3.1,2.6,1.0,critical,0.62,0,1079,printer,2,1
6.0,5.8,7.9,high,0.97,1,1216,firewall,11,4
6.8,3.6,7.9,critical,0.33,1,939,firewall,9,3
5.9,5.9,2.7,low,0.12,1,1408,ids,0,2
6.4,6.9,2.4,low,0.63,1,767,ids,3,3
5.9,6.6,2.3,medium,0.7,1,297,ids,7,3
9.8,7.6,1.0,low,0.62,1,258,printer,3,3
7.7,9.4,1.6,high,0.44,1,1453,firewall,12,3
5.0,3.7,5.8,medium,0.19,0,1544,workstation,4,2
5.9,2.0,6.2,medium,0.98,0,655,printer,8,2
4.5,7.8,3.4,low,0.55,1,1261,printer,8,3
4.8,6.2,5.9,high,0.51,0,983,firewall,4,2
6.1,9.1,4.3,low,0.48,0,920,printer,1,3
8.3,2.9,3.0,high,0.66,1,311,printer,5,3
8.2,8.9,1.2,low,0.12,1,221,workstation,5,3
2.6,1.0,2.3,high,0.49,0,826,printer,5,1
5.7,2.9,6.2,high,0.15,0,1001,server,1,2
4.6,8.8,7.4,high,0.34,0,1740,firewall,4,2
8.9,8.8,2.6,low,0.54,0,907,ids,3,3
5.4,5.9,2.4,high,0.36,1,1643,firewall,9,2
3.2,7.0,6.9,low,0.73,1,60,firewall,0,3
5.8,8.2,6.1,high,0.38,0,352,firewall,10,2
4.1,8.2,2.5,low,0.94,1,485,workstation,9,3
7.3,8.4,8.1,high,0.3,1,1767,server,0,3
7.5,2.3,4.5,high,0.91,1,55,workstation,8,3
8.2,3.2,1.5,low,0.95,1,1512,firewall,9,3
3.3,8.6,9.5,medium,0.62,1,409,printer,6,3
4.1,6.9,5.7,high,0.92,1,1600,ids,8,3
3.1,9.6,7.1,medium,0.55,0,1190,server,1,2
7.1,9.4,7.7,medium,0.15,0,1777,server,12,3
5.6,5.7,8.7,high,0.55,1,1626,printer,10,3
7.2,3.1,1.6,high,0.84,0,405,firewall,7,2
2.7,4.1,1.3,medium,1.0,1,1798,workstation,10,2
4.1,1.7,7.5,low,0.96,1,856,server,10,3
2.1,8.4,2.6,medium,0.27,1,824,ids,4,2
6.4,7.5,5.8,critical,0.68,0,530,printer,1,3
5.7,3.6,2.5,low,0.12,0,836,ids,4,1
5.8,3.6,4.3,low,0.46,1,60,workstation,12,2
8.7,2.5,1.0,low,0.69,1,585,server,8,3
8.7,4.9,4.3,high,0.27,1,593,ids,11,3
10.0,6.0,7.3,critical,0.21,1,927,printer,7,4
7.1,1.4,9.2,high,0.68,0,884,server,10,3
4.9,7.6,6.9,low,0.92,0,166,workstation,5,3
3.0,1.1,1.4,medium,0.7,0,252,server,8,1
5.3,9.8,6.3,high,0.7,0,582,printer,7,3
9.9,1.8,9.4,medium,0.86,0,1387,workstation,0,3
6.6,1.8,7.6,critical,0.64,1,1199,printer,12,3
3.0,4.2,4.4,high,0.46,0,585,server,5,1
8.7,7.6,9.4,medium,0.21,1,491,printer,3,4
9.0,6.2,5.9,medium,0.21,0,481,server,8,3
5.3,6.8,1.2,high,0.47,1,550,ids,6,2
6.0,7.3,4.9,high,0.38,0,365,firewall,8,2
8.5,8.2,6.5,medium,0.69,0,47,ids,3,3
8.0,2.0,8.4,low,0.4,0,849,printer,6,3
9.3,3.4,8.2,low,0.93,0,1815,server,5,3
9.6,7.1,1.5,low,0.48,1,1656,ids,7,3
2.2,7.8,3.6,high,0.92,0,166,ids,2,2
7.5,2.4,8.6,medium,0.94,0,1089,workstation,4,3
4.3,9.6,7.9,medium,0.68,1,282,firewall,1,3
6.2,3.2,3.2,medium,0.36,0,371,firewall,12,2
8.7,5.0,6.2,high,0.22,0,679,server,11,3
6.9,1.6,7.8,critical,0.15,0,1130,printer,3,2
9.2,3.3,4.6,medium,0.13,0,567,workstation,8,2
3.1,8.5,5.6,medium,0.53,0,147,server,0,2
3.6,1.6,6.9,high,0.54,0,935,server,7,2
2.8,1.2,2.2,high,0.42,0,1652,ids,8,1
3.5,6.8,6.1,medium,0.99,1,329,server,9,3
8.6,4.3,2.3,medium,0.16,1,518,printer,0,3
8.8,1.2,2.7,high,0.5,0,691,workstation,7,2
2.6,9.3,8.0,low,0.82,1,76,firewall,4,3
5.9,5.4,2.7,low,0.86,1,1735,firewall,4,3
6.3,3.9,3.4,critical,0.58,1,49,workstation,10,3
8.2,8.6,6.1,critical,0.88,1,678,firewall,7,4
3.0,1.1,1.7,high,0.48,0,877,firewall,6,1
4.5,7.8,1.9,medium,0.75,0,599,firewall,7,2
2.7,3.4,7.3,medium,0.44,1,843,ids,7,2
4.1,4.3,7.9,medium,0.75,1,1148,workstation,1,3
7.8,8.9,3.8,low,0.75,0,864,server,4,3
2.4,8.7,2.4,medium,0.98,1,965,workstation,6,3
9.1,7.7,5.4,low,1.0,1,54,workstation,0,4
7.7,8.9,8.5,low,0.32,1,4,ids,4,4
9.3,6.6,6.1,low,0.81,1,571,workstation,9,4
3.0,8.2,6.7,low,0.71,1,147,ids,10,3
9.6,7.9,6.4,critical,0.48,0,1347,ids,11,3
5.5,1.6,1.1,critical,0.96,0,1712,firewall,1,2
9.5,10.0,3.6,low,0.65,1,1347,firewall,3,4
4.2,4.2,9.4,critical,0.69,0,1894,ids,11,2
6.0,1.7,3.2,medium,0.45,1,118,workstation,3,2
8.8,7.6,2.4,high,0.93,0,1503,ids,2,3
5.0,1.6,4.4,low,0.18,1,77,server,11,2
9.2,9.9,3.0,low,0.84,1,98,server,9,4
5.0,2.5,5.0,high,0.64,1,987,workstation,7,2
3.8,8.8,5.9,high,0.59,1,153,firewall,2,3
2.7,4.8,9.2,high,0.44,0,1808,workstation,0,2
7.9,7.2,7.2,low,0.13,0,1776,ids,4,3
6.4,1.4,7.1,medium,0.51,1,456,printer,8,3
5.2,5.2,5.8,critical,0.18,0,545,server,5,2
2.7,2.7,3.0,high,0.96,0,1505,workstation,10,2
9.7,5.0,9.1,critical,0.94,0,1617,server,11,4
4.4,7.3,4.7,high,0.38,0,427,firewall,9,2
9.1,3.0,1.9,low,0.83,1,1286,workstation,9,3
9.1,1.9,8.9,critical,0.2,0,1362,server,6,3
4.3,1.4,9.4,high,0.12,1,1494,printer,6,2
4.4,9.9,4.1,critical,0.23,1,1520,printer,9,3
4.2,9.4,8.8,medium,0.61,0,67,firewall,7,3
9.7,2.1,3.2,low,0.22,1,1846,firewall,10,3
8.2,2.0,8.2,medium,0.25,0,274,firewall,11,2
9.5,5.0,2.2,low,0.77,1,714,server,2,3
6.0,2.7,9.2,high,0.43,0,1397,printer,9,2
4.5,9.5,1.9,high,0.64,0,85,printer,5,2
9.7,4.1,6.2,critical,0.73,1,1232,firewall,4,4
2.2,6.3,8.9,low,0.29,0,1230,printer,4,2
2.4,9.9,5.5,high,0.96,1,1630,server,12,3
9.8,8.1,5.5,high,0.82,1,616,ids,10,4
3.2,2.1,1.8,low,0.98,1,45,workstation,7,2
7.2,6.5,8.4,medium,0.79,1,645,server,10,4
3.7,3.6,5.5,high,0.81,0,629,server,9,2
2.5,6.3,5.4,low,0.91,1,732,firewall,5,3
6.8,8.3,4.9,medium,0.56,1,1983,ids,4,3
3.4,5.6,2.8,medium,0.74,0,1731,firewall,2,2
6.5,3.0,1.7,low,0.19,0,570,firewall,0,1
9.0,1.0,2.2,high,0.58,1,1469,ids,3,3
5.4,2.0,1.9,low,0.62,0,1025,firewall,3,2
9.8,7.9,2.8,high,0.26,0,1428,ids,12,3
3.5,8.6,8.8,high,0.64,0,597,printer,2,3
7.1,5.9,3.2,medium,0.6,1,1306,firewall,5,3
8.2,8.6,9.0,medium,0.19,0,1032,printer,0,3
7.2,3.5,2.3,low,0.13,0,417,workstation,8,2
5.0,1.6,3.7,high,0.29,1,670,firewall,0,2
2.1,2.5,3.1,critical,0.54,1,142,firewall,9,2
8.5,9.0,3.2,low,0.6,1,1742,workstation,7,4
3.2,8.1,5.0,high,0.1,1,831,workstation,9,2
2.2,7.8,8.6,critical,0.54,0,1275,server,7,2
9.2,1.3,1.3,high,0.59,1,1112,server,12,3
2.6,4.7,4.2,low,0.27,0,732,ids,9,1
7.8,6.6,3.2,critical,0.81,1,16,server,4,3
2.4,3.8,7.7,low,0.88,1,416,firewall,12,3
3.8,4.9,2.0,critical,0.78,0,1199,ids,11,2
9.0,6.9,8.4,critical,0.43,0,470,workstation,7,3
7.7,6.4,1.6,high,0.75,1,393,printer,1,3
8.9,9.5,5.0,low,0.15,1,1582,workstation,12,3
3.4,5.5,3.1,low,1.0,1,1419,server,12,3
6.3,7.0,6.5,high,0.58,0,1992,firewall,1,3
9.7,4.8,3.8,critical,0.83,0,141,server,7,3
9.1,9.1,3.1,low,0.52,0,1750,printer,0,3
4.5,5.7,5.7,medium,0.18,0,1797,firewall,8,2
5.3,5.8,6.9,high,0.17,1,1294,firewall,9,3
5.6,9.6,7.1,medium,0.39,0,543,ids,8,3
8.4,8.6,4.4,medium,0.95,0,1496,ids,11,3
5.4,5.6,4.2,critical,0.85,1,1614,ids,9,3
9.0,1.7,5.9,medium,0.53,1,480,server,8,3
7.3,6.8,4.7,critical,0.4,1,930,firewall,9,3
2.4,3.8,9.9,high,0.94,1,801,firewall,10,3
9.3,6.5,9.0,critical,0.63,0,1777,printer,11,4
4.2,4.1,1.6,medium,0.88,1,784,printer,3,2
6.2,7.3,1.6,medium,0.31,1,1564,firewall,7,2
5.5,4.4,3.8,medium,0.67,0,556,firewall,0,2
4.6,4.2,8.5,low,0.17,1,1008,firewall,5,2
4.3,1.5,9.7,critical,0.83,1,404,firewall,11,3
3.5,2.4,2.4,high,0.85,1,817,workstation,5,2
9.0,2.0,6.4,medium,0.7,0,1891,server,10,3
4.7,6.6,3.3,critical,0.53,0,857,workstation,12,2
9.9,5.2,8.2,low,0.84,0,496,workstation,8,4
3.8,1.0,5.3,medium,0.8,1,1993,printer,2,2
8.6,3.5,8.1,critical,0.11,0,1267,ids,9,2
5.5,2.9,9.2,medium,0.6,1,1751,printer,4,3
4.4,6.2,8.4,high,0.25,1,1576,ids,0,3
2.7,1.1,7.4,low,0.92,0,1390,server,8,2
6.5,6.1,3.1,medium,0.59,0,918,server,7,2
8.3,1.1,7.0,low,0.95,1,731,firewall,3,3
4.1,2.6,2.8,critical,0.73,0,1578,firewall,6,2
5.0,2.0,1.3,low,0.75,0,812,firewall,5,2
6.9,6.5,4.7,low,0.65,1,1480,firewall,0,3
4.1,4.9,3.0,high,0.46,0,972,server,8,2
2.9,5.4,3.4,low,0.61,1,1990,printer,5,2
8.9,5.8,9.1,medium,0.3,1,653,workstation,2,4
8.6,3.8,1.7,critical,0.99,0,1797,ids,1,3
3.0,5.9,5.2,low,0.51,0,529,printer,10,2
3.2,6.1,3.7,low,0.47,1,1271,server,4,2
6.2,3.2,8.5,high,0.17,1,1472,printer,5,3
7.6,5.7,1.9,high,0.59,0,1915,workstation,12,2
8.0,4.0,4.4,high,0.44,1,712,printer,9,3
5.7,5.7,4.5,low,0.91,0,1177,firewall,12,3
9.9,6.6,5.1,low,0.85,1,1151,server,10,4
7.3,5.3,6.5,medium,0.16,0,668,workstation,3,2
6.3,1.7,9.3,critical,0.45,1,1585,server,2,3
7.6,1.7,4.1,critical,0.18,0,1560,workstation,1,2
10.0,5.9,4.3,low,0.99,0,159,firewall,4,4
4.9,1.2,6.0,medium,0.16,1,1187,ids,8,2
4.4,9.5,2.7,critical,0.67,0,31,server,11,2
3.8,9.2,1.3,critical,0.29,0,145,workstation,11,2
5.6,4.5,6.7,medium,0.18,0,1613,ids,4,2
4.7,2.9,5.2,medium,0.65,0,1685,server,7,2
4.4,5.4,1.3,critical,0.44,1,1593,printer,9,2
8.8,7.9,6.3,low,0.66,0,690,workstation,5,3
4.5,2.2,9.7,high,0.56,0,144,server,6,2
4.0,1.3,8.5,medium,0.29,0,1699,printer,6,2
5.7,4.0,4.0,high,0.32,0,1671,server,12,2
5.7,1.3,2.2,low,0.23,0,1307,ids,9,1
9.1,2.5,4.7,critical,0.6,1,1316,server,1,3
3.7,2.1,6.9,low,0.39,0,961,server,11,2
9.3,1.3,6.8,critical,0.47,0,1626,workstation,9,3
2.9,5.3,8.5,critical,0.53,1,454,firewall,8,2
9.0,1.4,3.2,high,0.43,1,192,workstation,0,3
7.5,1.3,1.3,low,0.23,0,814,ids,6,1
7.3,4.5,6.4,low,0.54,1,1713,firewall,4,3
2.8,9.4,8.3,high,0.82,1,583,printer,9,3
9.0,3.3,3.7,critical,0.75,1,1713,printer,2,3
8.4,6.9,8.5,low,0.31,0,832,firewall,10,3
5.0,1.9,9.2,medium,0.24,0,1606,printer,5,2
4.7,7.0,6.0,critical,0.43,0,124,workstation,4,2
2.2,5.7,3.3,critical,0.58,0,485,printer,10,1
4.9,4.2,6.4,medium,0.22,0,648,workstation,6,2
3.0,8.1,3.7,high,0.76,1,467,ids,6,3
9.1,1.7,5.2,critical,0.44,1,1232,firewall,0,3
6.4,1.2,9.2,medium,0.96,0,157,ids,8,3
8.7,6.9,3.4,high,0.37,0,587,printer,3,3
6.9,8.3,4.5,medium,0.38,0,885,ids,1,3
9.5,7.4,9.8,low,0.44,0,946,ids,8,4
6.4,4.6,8.1,high,0.27,1,1937,ids,5,3
2.3,2.8,8.3,low,0.95,1,945,server,2,3
2.2,6.1,2.2,low,0.54,1,1962,firewall,8,2
4.1,2.0,1.2,critical,0.6,1,931,server,3,2
5.5,3.4,5.2,low,0.7,1,1012,workstation,7,3
2.2,6.8,7.7,critical,0.93,0,831,server,6,2
3.6,2.3,6.1,high,0.95,1,1762,server,11,3
2.9,7.4,7.7,high,0.59,1,1281,printer,11,3
8.9,9.2,9.8,critical,0.8,1,1052,firewall,8,4
8.4,7.9,7.8,high,0.44,0,838,ids,3,3
8.0,6.3,8.2,critical,0.83,1,424,ids,11,4
5.5,9.2,10.0,high,0.86,0,284,workstation,1,3
3.3,2.0,3.8,low,0.32,1,1742,printer,8,2
5.0,6.3,4.8,critical,0.63,1,1551,printer,9,3
6.0,6.7,2.2,medium,0.26,1,1623,printer,1,2
5.7,7.3,3.8,medium,0.34,0,632,printer,0,2
6.0,1.7,6.9,medium,0.64,0,133,workstation,11,2
7.3,7.8,9.5,medium,0.93,0,1085,ids,7,4
3.0,4.8,7.3,medium,0.53,1,480,workstation,12,2
7.8,2.5,4.9,critical,0.71,1,282,server,11,3
7.4,8.1,2.8,high,0.64,0,283,ids,1,3
4.6,8.2,5.7,medium,0.69,1,819,server,2,3
9.8,2.1,9.8,high,0.7,0,384,server,12,3
7.0,1.9,3.2,low,0.16,1,473,firewall,6,2
5.6,4.3,3.5,high,0.4,1,442,printer,10,2
3.3,3.2,2.9,critical,0.89,0,1907,firewall,6,2
8.6,6.2,5.9,high,0.38,1,780,firewall,1,3
7.4,8.9,5.9,high,0.5,1,378,ids,11,3
9.8,1.8,3.5,low,0.84,0,1595,workstation,1,3
6.1,8.9,9.9,medium,0.32,1,1124,ids,4,3
7.2,3.5,3.3,low,0.89,1,989,workstation,2,3
6.9,2.9,7.2,low,0.73,1,1362,printer,2,3
9.7,5.2,8.7,high,0.52,0,312,printer,12,3
7.3,3.1,4.4,medium,0.79,0,1374,printer,10,3
2.1,7.8,7.8,medium,0.22,0,242,ids,11,2
7.0,7.4,9.6,high,0.93,1,1292,server,10,4
3.4,9.5,7.6,low,0.21,0,248,ids,7,2
8.4,1.8,9.0,high,0.96,1,433,ids,3,4
7.2,6.2,8.5,medium,0.93,1,1208,printer,4,4
3.2,8.9,7.8,medium,0.85,0,1342,ids,11,3
8.5,3.4,5.7,low,0.16,0,1216,ids,6,2
6.4,7.9,8.8,medium,0.58,1,1791,server,8,4
6.9,7.5,5.0,high,0.12,1,1593,server,1,3
3.6,1.0,5.7,low,0.44,1,387,printer,3,2
2.3,9.7,2.4,low,0.63,0,1960,workstation,0,2
7.5,9.6,2.0,low,0.5,1,276,workstation,12,3
3.7,8.4,9.8,critical,0.66,0,1342,ids,5,3
4.7,9.3,6.5,high,0.43,1,747,firewall,3,3
5.6,2.6,2.0,low,0.92,1,968,firewall,11,3
6.6,6.6,9.7,critical,0.92,1,1896,server,4,4
4.7,5.4,7.3,high,0.1,0,159,firewall,4,2
7.7,9.3,2.7,high,0.9,1,1615,printer,1,4
4.9,8.6,4.8,high,0.78,1,935,firewall,3,3
9.6,8.2,7.0,low,0.59,1,1082,server,9,4
3.2,7.3,5.5,high,0.99,1,773,server,4,3
9.0,3.0,1.7,high,0.41,0,1149,workstation,8,2
2.5,8.8,6.8,high,0.17,1,1265,firewall,9,2
9.9,1.8,7.5,high,0.17,0,802,workstation,2,3
5.8,5.5,9.6,medium,0.33,0,1492,firewall,12,3
4.2,5.0,2.8,high,0.69,1,1222,firewall,8,2
3.6,9.8,2.0,critical,0.95,1,620,ids,10,3
9.9,1.0,1.1,high,0.8,0,1081,server,1,2
3.0,5.7,9.0,low,0.26,0,1682,printer,9,2
3.9,3.8,1.9,low,0.19,1,1445,printer,6,2
5.1,1.2,5.2,low,0.72,1,424,workstation,10,2
8.1,2.1,6.4,high,0.88,1,809,ids,10,3
8.4,1.7,4.2,critical,0.11,1,1619,printer,6,2
4.1,6.6,1.3,low,0.73,0,1229,workstation,9,2
5.9,5.2,7.9,medium,0.77,1,1882,firewall,0,3
6.9,4.9,9.5,critical,0.52,1,1651,workstation,6,3
4.9,2.7,3.6,medium,0.63,1,49,workstation,4,2
2.1,8.9,3.1,low,0.73,1,1083,firewall,12,2
7.4,6.8,4.1,low,0.52,0,91,server,7,3
3.1,7.6,2.4,medium,0.43,0,793,server,7,2
3.6,5.5,9.6,critical,0.44,0,1734,workstation,6,2
3.2,3.6,9.1,high,0.17,1,848,printer,3,2
5.9,3.9,8.8,low,0.24,1,54,firewall,5,3
9.0,3.6,4.2,critical,0.31,0,246,ids,12,2
8.1,3.9,4.5,high,0.75,0,1332,printer,3,3
9.9,3.3,2.3,low,0.5,1,398,workstation,5,3
3.7,8.9,4.7,high,0.93,0,86,firewall,0,3
4.7,8.2,8.2,critical,0.35,1,900,workstation,12,3
4.8,1.4,1.5,low,0.65,1,1948,printer,2,2
3.1,8.4,7.8,medium,0.22,0,810,workstation,4,2
7.6,9.0,5.3,low,0.64,1,1359,workstation,11,4
4.6,3.2,5.0,high,0.25,0,1234,workstation,2,1
5.8,9.8,1.0,low,0.31,1,476,ids,1,3
5.8,5.5,7.2,high,0.53,0,358,printer,1,2
9.6,5.8,2.7,medium,0.98,1,147,server,5,4
7.2,7.5,2.7,critical,0.4,0,47,firewall,3,2
9.9,3.4,1.1,critical,0.12,1,132,server,1,3
5.1,8.0,2.3,low,0.82,0,3,firewall,8,2
3.2,4.1,8.4,low,0.54,0,1081,server,3,2
5.9,9.0,9.6,critical,0.89,1,1677,ids,3,4
8.3,2.6,5.6,high,0.99,0,1809,ids,4,3
3.8,7.4,4.8,medium,0.13,0,984,workstation,0,2
8.4,9.4,8.4,high,0.41,0,1827,ids,3,3
9.1,6.1,1.5,high,0.96,1,915,ids,9,4
2.5,8.5,4.7,low,0.82,0,1179,ids,3,2
4.9,2.1,3.5,low,0.87,1,11,server,2,2
9.3,7.4,8.2,critical,0.96,0,1122,firewall,7,4
9.1,7.2,5.7,critical,0.21,1,1229,server,3,3
6.5,1.7,6.1,critical,0.39,0,408,workstation,11,2
6.6,8.1,9.6,high,0.18,0,1226,ids,2,3
4.0,5.2,6.7,medium,0.55,0,1062,firewall,5,2
7.4,7.2,7.0,high,0.22,0,1948,firewall,2,3
4.2,6.8,3.4,high,0.1,1,1316,firewall,0,2
6.1,8.5,5.2,critical,0.71,0,1099,workstation,0,3
5.8,3.0,2.6,low,0.39,1,448,printer,9,2
9.7,3.0,2.0,critical,0.58,1,248,ids,9,3
2.2,8.2,7.0,high,0.36,0,401,firewall,11,2
8.2,8.9,4.4,high,0.7,0,570,ids,1,3
5.9,5.8,9.4,critical,0.39,1,218,workstation,9,3
2.3,6.0,1.9,low,0.49,1,458,firewall,11,2
8.3,9.2,4.6,critical,0.67,0,210,firewall,4,3
8.0,8.3,9.4,low,0.42,1,1117,printer,5,4
6.3,8.5,6.5,critical,0.35,0,717,printer,1,3
6.3,3.2,7.2,low,0.49,0,123,printer,4,2
8.1,1.7,5.4,critical,0.41,0,895,ids,11,2
7.4,2.8,2.7,medium,0.58,1,1806,server,10,3
7.1,2.6,7.6,critical,0.9,0,1333,workstation,9,3
3.6,5.4,4.1,high,0.91,0,287,server,1,2
