cvss_base_score,exploitability_score,impact_score,asset_criticality,network_exposure,exploit_available,days_since_published,device_type,mitre_attack_technique_count,risk_priority
8.4,3.8,6.0,low,0.24,1,1604,ids,6,3
9.3,9.3,2.7,high,0.33,1,957,ids,3,3
2.6,2.5,2.7,medium,0.16,1,240,ids,12,1
2.5,7.1,4.2,critical,0.65,0,440,server,7,2
6.6,2.7,6.5,high,0.19,0,1084,workstation,9,2
3.3,9.6,7.3,critical,0.3,0,1659,ids,0,2
5.8,7.1,6.2,low,0.24,1,1318,workstation,8,3
8.3,3.1,7.0,medium,0.86,0,224,server,0,3
4.6,5.8,1.2,critical,0.82,1,1931,workstation,11,2
8.0,2.8,4.4,critical,0.41,1,1888,printer,10,3
6.1,1.8,3.4,low,0.98,1,1849,server,9,3
6.5,5.8,2.6,critical,0.49,1,1571,printer,4,3
2.9,5.9,1.7,low,0.42,0,1798,printer,9,1
5.1,7.7,2.4,low,0.28,1,495,server,2,2
9.7,1.2,6.5,high,0.27,0,1768,printer,0,2
3.0,8.3,1.8,critical,0.43,1,199,firewall,2,2
6.0,8.8,5.4,critical,0.46,1,859,server,8,3
6.8,8.5,5.6,critical,0.27,1,896,workstation,1,3
2.1,4.0,6.0,medium,0.22,1,1837,printer,0,2
6.3,8.0,1.9,low,0.64,0,836,printer,10,2
5.5,9.4,6.3,high,0.44,0,32,printer,5,3
7.8,7.7,7.4,critical,0.36,0,952,server,5,3
2.1,8.4,2.2,high,0.57,1,1605,printer,8,2
9.5,7.2,5.0,high,0.8,0,1799,firewall,1,3
9.7,7.1,7.5,medium,0.42,0,1808,printer,9,3
5.0,7.4,4.7,critical,0.78,0,884,ids,0,2
7.3,8.3,1.4,medium,0.26,0,1071,workstation,12,2
7.0,5.0,6.8,low,0.84,1,1729,workstation,4,3
9.7,9.9,3.0,critical,0.68,1,884,firewall,10,4
4.4,6.2,3.2,critical,0.35,1,1959,server,6,2
5.8,5.6,1.0,medium,0.85,1,844,firewall,4,3
3.2,3.5,9.8,high,0.45,1,1203,server,0,2
5.8,6.9,7.7,high,0.92,1,1015,firewall,3,4
6.2,9.9,2.3,low,0.53,0,167,firewall,2,2
8.8,7.7,5.0,high,0.47,1,828,ids,10,4
6.6,6.0,4.4,critical,0.51,1,1814,printer,1,3
3.6,6.1,4.3,medium,0.77,1,654,workstation,6,3
9.8,6.3,2.9,critical,0.14,0,41,printer,2,3
8.0,3.6,3.0,high,0.69,0,430,workstation,1,2
8.8,8.2,1.6,critical,0.28,0,375,ids,0,3
2.8,3.8,6.7,medium,0.51,0,1238,firewall,5,2
3.8,8.2,7.0,critical,0.63,0,1768,workstation,10,2
9.5,8.6,7.8,low,0.55,1,1,workstation,11,4
3.9,7.9,3.8,medium,0.88,0,1278,printer,5,2
8.0,2.5,5.3,critical,0.91,0,1928,workstation,8,3
5.7,8.7,9.9,critical,0.33,0,1355,firewall,5,3
9.1,3.3,6.4,critical,0.71,1,1992,server,3,4
3.5,8.3,4.1,critical,0.75,1,605,firewall,2,3
8.1,7.9,8.4,low,0.29,0,1701,ids,5,3
7.9,9.5,5.7,high,0.2,1,1348,workstation,5,3
5.4,7.6,3.5,critical,0.23,1,243,server,10,2
7.4,6.4,6.2,low,0.78,1,343,firewall,8,4
4.4,9.4,6.7,medium,0.6,1,371,firewall,10,3
5.4,6.5,1.9,high,0.23,0,1767,printer,8,2
4.5,8.6,6.8,medium,0.14,0,1484,firewall,12,2
2.8,1.5,5.0,low,0.68,1,1590,printer,1,2
6.1,4.3,2.0,medium,0.37,1,1139,workstation,6,2
9.5,3.3,9.9,low,0.95,1,1625,server,11,4
6.6,9.6,1.1,low,0.64,1,252,ids,8,3
8.5,4.0,6.9,high,0.11,0,1984,server,1,2
5.9,2.1,6.5,high,0.75,1,1449,workstation,7,3
8.4,5.2,9.4,medium,0.68,1,1510,firewall,6,4
6.0,7.6,4.4,high,0.69,1,257,ids,9,3
2.4,8.5,8.6,high,0.65,1,1263,server,1,3
9.5,2.6,5.6,medium,0.79,0,452,firewall,10,3
5.9,6.9,5.3,low,0.72,0,1444,firewall,11,3
2.8,4.5,7.4,low,0.63,0,847,printer,9,2
7.2,4.1,2.1,medium,0.65,1,944,workstation,10,3
6.7,9.0,1.9,medium,0.9,1,412,printer,0,3
9.4,6.5,4.4,high,0.45,1,775,firewall,12,3
5.6,7.2,4.6,high,0.99,0,1376,server,1,3
5.9,9.3,7.3,medium,0.52,0,643,ids,10,3
8.0,5.0,6.3,low,0.52,1,558,printer,10,3
7.4,3.8,7.8,critical,0.45,1,93,server,8,3
8.5,5.7,9.4,high,0.79,1,507,server,10,4
5.2,2.3,8.9,low,0.62,0,916,firewall,2,2
9.2,7.4,5.1,high,0.19,0,35,server,6,3
5.8,6.2,7.2,critical,0.89,1,528,ids,5,3
2.5,7.6,9.3,high,0.25,1,150,server,3,2
8.1,8.3,5.1,critical,0.99,1,876,printer,3,4
3.6,4.1,2.7,low,0.45,1,41,ids,11,2
9.6,9.4,2.1,critical,0.32,0,217,workstation,4,3
4.8,2.2,1.7,low,0.53,0,40,firewall,9,1
4.7,1.0,1.7,critical,0.46,1,1798,printer,10,2
3.2,5.1,8.4,critical,0.28,0,1680,printer,6,2
3.8,3.2,4.8,high,0.36,0,1781,workstation,6,1
4.8,8.1,9.8,high,0.23,0,793,server,3,2
4.5,6.9,1.4,critical,0.29,0,863,workstation,2,2
5.1,2.3,4.1,critical,0.55,1,1931,ids,6,2
8.6,7.2,4.5,high,0.86,1,1672,printer,3,4
2.1,2.3,3.8,high,0.19,1,1992,ids,1,1
9.5,3.7,5.3,low,0.95,0,1438,server,8,3
6.3,1.2,7.8,low,0.92,0,465,ids,0,3
6.5,1.9,2.7,high,0.4,0,756,server,7,2
8.3,2.3,1.0,critical,0.49,1,476,ids,10,2
5.6,9.9,9.9,medium,0.72,1,389,firewall,3,4
4.6,7.1,6.1,critical,0.68,1,500,server,6,3
8.1,5.3,7.6,high,0.13,1,1160,workstation,6,3
6.7,6.1,7.8,critical,0.59,0,494,firewall,6,3
4.3,9.3,8.2,critical,0.18,1,1586,firewall,3,3
5.6,4.9,6.9,medium,0.95,1,1817,workstation,2,3
8.3,9.9,3.3,low,0.15,0,1548,workstation,8,3
4.1,4.7,7.2,critical,0.18,1,1991,workstation,12,2
9.8,7.8,1.9,medium,0.22,1,175,firewall,11,3
9.6,8.9,3.6,low,0.9,0,1526,printer,9,4
6.2,9.6,2.4,critical,0.8,1,1308,printer,10,3
9.1,2.0,9.2,high,0.88,1,1689,ids,3,4
4.2,9.4,5.8,medium,0.17,1,1067,firewall,3,3
3.5,1.1,5.1,high,0.56,0,1893,printer,12,1
7.8,1.8,8.3,low,0.48,1,398,printer,6,3
6.5,4.9,2.8,critical,0.58,1,1102,ids,2,3
7.4,4.7,4.2,low,0.34,0,677,workstation,0,2
2.4,1.8,9.5,critical,0.45,1,1823,printer,1,2
9.8,2.8,2.5,medium,0.33,1,1452,firewall,9,3
5.3,4.1,8.8,medium,0.89,1,704,firewall,9,3
2.2,7.3,3.9,high,0.3,1,525,firewall,8,2
5.9,3.0,5.4,high,0.5,0,428,ids,8,2
9.9,5.2,5.6,medium,0.23,1,653,firewall,9,3
9.4,4.5,1.5,medium,0.59,1,1305,workstation,2,3
8.8,8.0,4.7,high,0.11,1,980,workstation,4,3
3.6,7.7,7.6,low,0.44,1,1047,firewall,10,3
2.3,8.8,1.4,low,0.46,1,1667,printer,3,2
6.9,8.9,3.4,medium,0.13,1,348,server,0,3
4.2,1.4,9.8,low,0.16,0,1869,workstation,9,2
4.6,1.6,7.2,medium,0.2,1,765,ids,3,2
3.5,5.4,3.4,critical,0.34,0,453,printer,5,1
2.9,9.7,7.1,low,0.27,0,1447,workstation,4,2
6.1,2.4,6.7,high,0.28,1,250,workstation,11,2
6.9,2.2,6.0,high,0.81,1,513,firewall,9,3
3.1,8.0,10.0,critical,0.19,1,472,firewall,5,3
5.9,2.6,1.4,medium,0.66,0,391,ids,10,2
7.3,3.6,3.5,critical,0.64,0,1915,workstation,11,2
9.7,5.5,7.1,medium,0.29,1,1375,workstation,0,3
3.6,2.0,4.0,critical,0.8,1,45,printer,9,2
9.9,9.0,4.0,critical,0.41,0,1551,ids,10,3
8.2,1.8,5.8,high,0.82,1,263,server,7,3
9.9,1.5,6.7,low,0.85,1,1617,firewall,7,4
8.2,7.9,10.0,low,0.46,1,1214,server,5,4
2.9,3.9,6.6,high,0.17,1,1830,server,10,2
3.0,5.4,4.0,critical,0.97,0,868,server,5,2
3.4,5.8,8.4,high,0.42,1,1155,firewall,2,3
6.4,1.7,9.8,low,0.54,0,1404,firewall,11,2
6.2,6.3,4.4,low,0.78,1,435,ids,7,3
9.2,3.3,5.2,medium,0.1,0,925,printer,1,2
7.4,1.3,5.8,critical,0.67,0,1309,firewall,11,2
9.1,9.7,7.2,low,0.78,1,396,ids,10,4
3.5,1.4,6.0,high,0.55,0,776,server,2,1
7.5,4.1,4.4,critical,0.69,1,520,firewall,4,3
8.2,7.8,2.1,low,0.55,0,1095,ids,2,3
9.8,6.5,6.3,medium,0.14,1,1062,firewall,6,3
7.1,2.2,6.2,low,0.82,0,1077,server,9,3
9.0,9.2,7.8,high,0.45,1,831,workstation,4,4
4.3,8.8,9.1,medium,0.6,0,1998,printer,7,3
9.8,7.0,1.2,critical,0.41,1,658,server,9,3
5.9,2.6,6.8,high,0.86,1,491,workstation,3,3
6.2,1.9,8.3,low,0.46,0,347,workstation,6,2
3.8,6.3,9.0,critical,0.94,0,1940,server,9,3
3.8,7.4,5.6,critical,0.66,0,1060,ids,5,2
3.5,8.3,5.0,critical,0.65,1,408,server,7,3
9.4,7.5,8.8,critical,0.36,0,1279,server,7,3
5.8,1.3,6.0,critical,0.71,0,104,printer,10,2
7.0,2.0,2.1,low,0.32,1,140,server,11,2
3.4,8.0,4.5,medium,0.67,1,1943,workstation,9,3
3.6,6.0,5.6,low,0.9,1,1470,ids,9,3
2.2,7.1,9.4,high,0.56,1,1200,firewall,10,3
3.8,4.6,6.9,critical,0.13,1,157,workstation,10,2
5.5,3.0,8.7,low,0.79,0,154,firewall,3,3
4.6,3.5,5.8,high,0.16,1,1041,firewall,5,2
10.0,6.6,4.6,low,0.35,1,551,ids,2,3
4.2,1.6,3.3,medium,0.12,1,1163,printer,2,1
9.3,3.6,1.7,high,0.97,0,794,firewall,10,3
2.1,6.8,9.7,medium,0.93,1,1468,workstation,2,3
2.4,2.1,4.2,low,0.63,0,897,printer,11,1
6.8,1.2,9.7,high,0.8,0,765,server,2,3
7.3,5.7,1.6,low,0.71,0,830,workstation,3,2
6.5,8.2,9.8,medium,0.2,0,1666,workstation,6,3
5.7,8.1,8.0,medium,0.71,1,1355,workstation,0,3
3.8,6.8,7.7,medium,0.53,1,1866,ids,6,3
3.1,3.4,3.9,medium,0.48,0,278,firewall,2,1
4.0,8.1,3.9,medium,0.61,1,818,ids,8,3
3.2,6.9,4.8,low,0.48,0,1761,workstation,12,2
8.8,9.9,6.2,low,0.32,0,1530,firewall,6,3
2.7,7.6,9.4,high,0.37,0,145,printer,11,2
4.7,2.8,9.4,high,0.69,1,1451,ids,9,3
6.2,4.7,2.0,high,0.21,1,855,firewall,10,2
2.7,6.8,8.5,low,0.66,0,1397,firewall,0,2
4.0,8.2,9.3,high,0.72,1,1251,printer,3,3
8.0,7.8,5.5,low,0.89,0,1346,printer,12,3
7.8,4.3,1.8,critical,0.25,1,693,ids,4,2
3.5,6.5,2.6,low,0.63,0,1944,ids,10,2
5.3,3.0,7.6,high,0.13,1,641,workstation,12,2
2.6,9.0,9.9,high,0.42,0,863,server,10,2
7.1,9.8,8.6,low,0.68,0,86,firewall,4,3
8.7,2.6,1.5,high,0.77,0,748,ids,5,2
9.4,5.7,2.3,low,0.44,1,1300,printer,12,3
9.6,6.6,2.6,high,0.91,0,1252,firewall,10,3
4.1,1.1,6.2,medium,0.97,0,1084,ids,9,2
5.8,1.5,1.9,critical,0.68,0,1872,server,8,2
6.3,2.5,4.3,critical,0.43,0,1353,ids,12,2
9.5,3.7,7.9,medium,0.43,0,222,firewall,12,3
7.9,2.2,1.4,high,0.33,0,432,printer,0,2
8.8,9.9,7.3,low,0.54,0,790,firewall,9,4
3.9,8.0,5.3,critical,0.71,0,1725,server,11,2
2.0,6.7,4.9,high,0.13,1,1012,ids,10,2
9.7,6.6,2.5,high,0.75,1,1730,server,8,4
9.3,3.1,6.2,medium,0.61,1,1213,workstation,11,3
9.7,7.9,8.5,high,0.46,1,189,printer,10,4
4.7,6.6,7.3,low,0.79,1,426,server,5,3
6.1,1.5,7.8,critical,0.85,0,854,server,4,3
4.6,2.9,9.7,low,0.75,0,1339,workstation,3,2
9.2,2.7,1.7,high,0.11,1,1819,server,8,2
2.4,6.0,9.9,low,0.8,0,1521,ids,8,2
5.0,5.1,1.7,low,0.31,0,1055,ids,3,1
7.8,8.2,10.0,high,0.54,1,942,printer,3,4
7.8,4.6,2.0,low,0.76,1,197,firewall,3,3
5.9,8.5,1.2,high,0.42,0,1345,workstation,2,2
5.3,7.5,1.4,medium,0.55,1,1183,server,2,3
9.1,4.0,10.0,high,0.48,0,967,server,9,3
6.9,7.9,9.7,high,0.88,0,627,server,12,4
6.8,7.1,1.5,critical,0.39,1,1550,printer,8,3
3.9,4.1,7.9,high,0.94,1,628,workstation,3,3
4.9,5.1,4.4,high,0.85,0,1435,workstation,0,2
5.8,8.9,8.2,high,0.79,0,603,firewall,2,3
6.8,2.5,5.5,critical,0.28,0,1743,printer,11,2
3.3,4.5,5.4,low,0.15,1,971,printer,9,2
7.4,4.0,3.9,medium,0.35,1,1854,ids,9,3
2.3,1.6,2.9,low,0.89,1,96,workstation,0,2
3.5,2.7,5.3,critical,0.43,1,916,firewall,2,2
4.6,3.9,2.5,medium,0.52,1,843,ids,8,2
8.7,8.3,6.8,medium,0.89,0,758,server,8,4
2.1,5.7,7.3,high,0.9,1,970,firewall,0,3
9.2,8.2,5.2,critical,0.7,0,1116,ids,5,3
2.7,7.5,9.9,low,0.49,1,387,ids,8,3
7.8,8.5,1.2,critical,0.24,0,1232,workstation,6,2
2.6,8.3,9.3,high,0.97,1,353,server,0,3
6.4,4.7,5.2,critical,0.61,0,1989,server,0,2
5.0,2.7,7.3,medium,0.72,1,452,server,1,3
4.4,5.7,7.0,low,0.34,1,1874,ids,5,2
4.5,8.4,9.5,critical,0.88,0,1375,server,1,3
5.5,6.8,2.8,high,0.42,0,1451,firewall,5,2
8.6,5.1,4.6,medium,0.38,0,1623,ids,7,3
2.1,2.8,4.0,low,0.37,0,38,firewall,4,1
6.7,5.7,4.1,medium,0.74,1,976,firewall,9,3
2.0,4.1,2.7,medium,0.95,0,1042,workstation,11,2
2.2,1.1,1.5,high,0.18,0,868,server,3,1
7.1,4.0,4.9,medium,0.93,0,150,firewall,3,3
3.6,8.0,4.6,medium,0.54,0,1639,ids,11,2
8.1,6.1,4.3,high,0.17,0,1273,firewall,7,2
9.8,6.0,3.9,low,0.49,0,707,ids,9,3
5.8,1.2,9.6,medium,0.65,1,1892,ids,1,3
8.8,5.0,6.2,medium,0.42,0,1438,server,0,3
8.2,9.3,9.2,high,0.31,1,1558,firewall,9,4
4.7,1.1,2.5,high,0.45,0,883,printer,9,1
6.7,1.5,4.7,medium,0.67,1,1602,printer,9,3
7.6,8.0,7.6,medium,0.63,1,67,printer,7,4
7.6,1.8,6.9,high,0.85,1,1177,firewall,3,3
9.1,3.9,8.3,medium,0.68,0,1807,printer,7,3
2.2,9.1,2.0,medium,0.76,1,1328,firewall,11,2
9.0,1.1,6.6,critical,0.92,0,1762,firewall,5,3
4.4,4.0,9.3,critical,0.17,0,306,firewall,1,2
6.8,2.4,4.3,medium,0.71,0,843,firewall,9,2
3.9,2.6,9.1,low,0.15,0,158,workstation,10,2
3.9,3.8,1.7,critical,0.57,1,83,ids,4,2
5.8,5.7,7.1,high,0.76,0,208,firewall,9,3
8.8,1.4,2.4,high,0.14,0,949,workstation,7,2
2.4,8.2,2.0,critical,0.59,1,1907,server,5,2
8.6,4.1,9.8,medium,0.95,0,1382,printer,2,4
4.7,5.9,9.1,medium,0.71,1,522,ids,12,3
5.3,1.7,8.2,low,0.72,0,1541,workstation,12,2
5.5,4.9,8.4,medium,0.67,1,1030,firewall,4,3
2.1,6.3,1.1,high,0.87,1,1773,firewall,10,2
6.3,6.2,3.5,critical,0.19,1,1979,workstation,5,2
5.7,1.6,2.6,high,0.85,1,1590,firewall,11,2
9.5,1.8,9.9,critical,0.48,1,1152,firewall,7,4
7.9,3.4,2.5,high,0.9,0,616,firewall,7,3
9.0,5.6,2.3,critical,0.54,1,1184,printer,3,3
8.6,8.2,6.9,low,0.15,0,519,printer,9,3
5.2,5.8,2.9,medium,0.79,0,882,printer,5,2
5.0,3.5,4.3,medium,0.51,1,1640,firewall,6,2
9.9,1.2,1.8,high,0.77,0,550,server,4,3
8.2,9.2,7.0,critical,0.46,1,38,ids,7,4
8.9,6.5,1.4,low,0.81,1,1274,firewall,2,3
2.1,5.6,7.5,high,0.43,0,1402,firewall,6,2
8.3,1.6,9.8,critical,0.3,1,1439,printer,1,3
3.3,1.9,7.0,critical,0.6,0,1336,server,11,2
4.9,1.8,7.4,low,0.14,0,1015,printer,6,2
2.4,9.5,3.2,low,0.52,0,1739,printer,7,2
9.3,3.1,3.9,medium,0.49,0,1980,workstation,11,3
8.2,5.1,1.4,high,0.45,0,63,firewall,8,2
9.5,2.0,1.2,medium,0.53,0,969,workstation,7,2
8.3,4.8,2.0,high,0.72,0,1678,firewall,2,3
3.8,4.0,8.0,low,0.95,0,1058,ids,2,2
8.1,5.9,3.5,high,0.84,0,518,workstation,2,3
2.6,8.3,7.3,critical,0.5,0,279,ids,4,2
7.3,1.0,7.5,medium,0.66,0,1897,firewall,4,2
5.8,3.5,5.5,critical,0.2,1,1683,ids,10,2
5.0,5.1,6.3,low,0.79,1,1266,server,7,3
5.2,2.1,7.1,critical,0.17,1,1990,server,2,2
9.3,2.6,1.6,low,0.48,1,1961,server,0,3
5.1,8.8,8.0,medium,0.98,0,1259,printer,6,3
9.0,9.6,8.4,critical,0.19,0,639,workstation,2,3
2.2,4.0,8.9,medium,0.82,0,852,workstation,12,2
6.7,5.9,8.5,low,0.98,1,1258,firewall,11,4
9.5,1.0,6.2,low,0.87,0,121,server,11,3
9.7,4.3,4.1,critical,0.89,0,1843,printer,8,3
8.7,6.5,5.3,high,0.45,0,755,firewall,7,3
8.2,3.5,1.3,critical,0.12,1,106,workstation,1,2
5.8,7.7,2.4,high,0.71,0,1145,printer,2,2
3.8,2.7,3.0,low,0.83,1,660,server,7,2
9.5,9.3,6.4,low,0.3,1,18,server,1,4
2.5,5.6,6.8,low,0.57,1,565,firewall,3,2
9.0,4.1,6.1,critical,0.79,1,1436,printer,3,4
5.8,3.2,5.9,low,0.98,1,543,printer,7,3
9.3,3.4,8.1,critical,0.69,1,453,firewall,3,4
7.6,5.9,1.5,critical,0.58,0,524,ids,10,2
9.8,8.7,1.3,high,0.21,1,930,workstation,1,3
7.2,3.5,7.0,high,0.96,1,1908,ids,12,3
9.0,7.7,6.9,high,0.38,1,717,workstation,10,4
3.9,1.2,8.5,low,0.76,1,1059,workstation,10,3
2.3,3.0,4.0,medium,0.26,0,296,server,7,1
5.6,10.0,1.6,critical,0.76,0,961,workstation,7,3
6.8,7.2,3.0,high,0.85,1,858,firewall,6,3
6.4,2.5,6.4,medium,1.0,1,182,server,10,3
8.1,7.7,1.0,medium,0.83,0,1374,ids,7,3
4.2,8.6,3.5,critical,0.73,0,1629,ids,6,2
8.9,7.5,5.6,low,0.25,1,1314,firewall,7,3
2.8,8.3,1.7,medium,0.54,1,1142,server,9,2
7.7,8.7,8.3,high,0.7,1,1487,printer,7,4
9.9,1.1,9.2,high,0.13,1,810,firewall,5,3
7.7,8.2,4.9,low,0.14,0,802,printer,6,2
5.4,3.7,3.8,critical,0.42,1,1194,firewall,7,2
7.9,5.2,7.1,low,0.84,0,1477,printer,9,3
5.9,3.7,6.9,high,0.57,1,1577,server,3,3
9.6,8.0,1.1,critical,0.42,1,1563,ids,9,3
7.0,6.4,5.0,low,0.42,0,1024,workstation,0,2
4.6,5.6,5.0,high,0.84,0,926,server,11,2
4.1,6.2,7.7,high,0.22,1,1448,server,10,2
2.3,3.6,7.8,critical,0.46,0,1005,ids,5,2
6.3,5.3,3.3,medium,0.6,0,1936,ids,11,2
9.5,4.3,8.3,low,0.61,1,1566,printer,11,4
2.8,7.8,3.3,critical,0.19,0,1571,workstation,2,1
8.7,3.8,1.2,high,0.6,1,1403,workstation,7,3
8.4,6.9,6.0,low,0.74,1,661,server,1,4
3.3,7.2,9.5,medium,0.73,0,184,workstation,0,3
9.2,4.9,8.5,medium,0.69,1,1016,printer,7,4
3.3,4.0,4.2,low,0.16,0,1833,workstation,0,1
8.7,6.0,7.0,high,0.2,0,1633,printer,6,3
7.5,5.1,9.1,medium,0.88,1,1295,printer,1,4
5.0,8.8,6.8,low,0.13,1,197,firewall,6,3
4.5,5.6,5.8,high,0.97,0,490,workstation,3,3
3.7,5.9,9.4,high,1.0,1,698,server,4,3
9.8,5.0,8.6,high,0.96,1,1412,printer,3,4
2.6,3.7,4.3,low,0.53,1,1875,workstation,5,2
2.3,2.8,1.4,high,0.91,0,3,printer,3,1
8.3,8.7,3.5,critical,0.96,1,669,printer,4,4
5.2,3.7,1.6,medium,0.5,1,1654,workstation,12,2
3.3,6.9,2.8,high,0.15,0,1089,workstation,11,1
9.6,2.5,7.9,medium,0.98,1,1043,workstation,0,4
4.6,6.5,7.4,medium,0.32,1,1689,server,9,3
9.3,4.9,8.6,critical,0.85,1,1258,server,4,4
6.9,4.7,5.2,low,0.21,1,887,server,4,3
9.1,9.4,6.7,critical,0.41,1,271,ids,12,4
9.5,6.2,8.3,critical,0.49,1,753,printer,7,4
